"dates","SPI.1","SPI.3","SPI.6","SPI.12","SPI.24","SPEI.1","SPEI.3","SPEI.6","SPEI.12","SPEI.24","SSI.1","SSI.3","SSI.6","SSI.12","SSI.24"
1971-01-01,NA,NA,NA,NA,NA,-1.42838436042635,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-02-01,0.20929286168617,NA,NA,NA,NA,-1.6414563265971,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-03-01,0.214303101803388,0.283951840688569,NA,NA,NA,-1.29506839119152,-1.53737478521968,NA,NA,NA,NA,NA,NA,NA,NA
1971-04-01,1.01767359251454,0.999884550550895,NA,NA,NA,0.40451368320709,-1.26411514575272,NA,NA,NA,NA,NA,NA,NA,NA
1971-05-01,-1.04051342478765,-0.100898509775256,NA,NA,NA,-0.306852389089932,-0.753420448885879,NA,NA,NA,NA,NA,NA,NA,NA
1971-06-01,-0.601066791564316,-0.590591160963349,-0.541991492190323,NA,NA,-0.407083290095354,-0.377048370629956,-1.4345348349867,NA,NA,-1.22498963578337,-1.35780343981877,-1.39587428715474,NA,NA
1971-07-01,0.286883161708168,-0.733594340738628,-0.37358162863897,NA,NA,0.89885546524018,0.145495288000499,-0.471538677169913,NA,NA,-1.60874509348239,-1.82189852199668,-1.83057342771387,NA,NA
1971-08-01,-0.402808224049035,-0.479872408243818,-0.562943222734119,NA,NA,0.105409729847467,0.199438847179721,-0.118356118473114,NA,NA,-1.57330070752051,-1.82074579582633,-1.84397762944649,NA,NA
1971-09-01,-0.14436263805567,-0.238833127408496,-0.564901895564136,NA,NA,0.154943558757937,0.384069195526298,0.0654516388725034,NA,NA,-1.41616065648736,-1.784345577642,-1.82536869553035,NA,NA
1971-10-01,-2.29850390628413,-0.767183981751147,-0.96621550105536,NA,NA,-1.85032711703305,-0.435484106572203,-0.26319511982944,NA,NA,-0.926383351423547,-1.63466237147567,-1.78784588392414,NA,NA
1971-11-01,NA,-0.753095208256552,-0.758851458514582,NA,NA,-1.7287828677278,-1.00081940424991,-0.319478405931218,NA,NA,NA,-1.37671348385863,-1.75322856918136,NA,NA
1971-12-01,NA,-1.68298466338598,-0.504665353612522,-0.77580536217063,NA,-1.43398243499335,-2.07299207982287,-0.282486415403914,-1.00661091247302,NA,NA,-0.898571433745627,-1.73194222069335,-1.77243249503377,NA
1972-01-01,NA,0.602658165854008,-0.720834128741501,-0.75232914710321,NA,-1.48046438811165,-1.73859049139313,-0.979995790358702,-1.00785853267306,NA,NA,NA,-1.63076544206621,-1.79635583446771,NA
1972-02-01,-0.230519566806442,0.926968876152762,-0.667170152849625,-0.754111361736492,NA,-1.80091799311576,-1.8166683320207,-1.74395680265563,-1.04430774807719,NA,NA,NA,-1.42360789551361,-1.79634287206414,NA
1972-03-01,NA,-1.24793868496624,-1.94602568209803,-0.785586787775222,NA,-1.46824229643756,-1.6589341312252,-1.97016063932361,-1.08518384488995,NA,NA,NA,-1.00564839852369,-1.79512845343692,NA
1972-04-01,1.06947734101108,0.904500315232631,0.966884045387018,-0.775638681469577,NA,1.19033876216197,-0.992959667739004,-1.46605586279937,-0.943797931573988,NA,NA,NA,NA,-1.79883349948599,NA
1972-05-01,1.03712397335884,1.1585786291854,1.18534389315347,-0.330030638567098,NA,1.53712109112173,1.18779175253499,-0.0181293267721313,-0.367215858144904,NA,-0.460202600779339,-0.503470837988673,-0.724382454330862,-1.83079331826288,NA
1972-06-01,2.1809349716148,2.26141977070817,2.13782416142517,0.720096944544431,NA,2.2215806653513,2.05568263469027,1.53170077197495,0.800535759117677,NA,0.0830981275879387,-0.0541761895667354,-0.073504963228152,-1.70306996994819,NA
1972-07-01,-0.675976442252451,1.6336541154342,1.76175235853481,0.481914784613017,NA,0.0520151740758512,1.8859395480973,1.61796477516841,0.690672365828733,NA,-0.618271631328512,-0.601041597194338,-0.607755253284541,-1.85843100445886,NA
1972-08-01,-0.855195154569206,0.293483880031179,0.730307725685776,0.276177148941186,NA,-0.391801303969368,1.21199169525449,1.41956343961931,0.408681315074486,NA,-1.41916784622484,-1.24378423894606,-1.26260733074824,-2.30453497229984,NA
1972-09-01,0.043096420694857,-0.768265206623884,0.606798279480786,0.324974490997426,NA,0.0358427574007061,-0.275949561803692,1.41893051260464,0.373200262595414,NA,-1.69025081233105,-1.61574630154494,-1.54992889893802,-1.85679351869388,NA
1972-10-01,1.31156393095992,-0.145427592011678,0.709350078136976,0.817624203829438,NA,0.967591248055631,0.000978522551908361,1.37622447447907,0.820851924882309,NA,-1.14545125614932,-1.71386462972451,-1.56490996321082,-1.62140762872553,NA
1972-11-01,NA,0.636114464081256,0.499338970898978,0.816949218615796,NA,-1.3441388095995,0.282726027252739,1.00817867036879,0.846655932091174,NA,-0.302262767027395,-1.61795058551641,-1.53041974777978,-1.62904526617089,NA
1972-12-01,NA,1.29775562380585,-0.393964939816277,0.813709083246889,0.0390060900758703,-1.4158789405242,-0.0518211076836417,-0.231800807574123,0.874949595898844,-0.106918441701628,-0.75106172726244,-1.00732094689927,-1.60095263765967,-1.54489248289183,-3.00248107202425
1973-01-01,NA,NA,-0.138946583343203,0.836320309550151,0.066069232541898,-1.81650126974225,-1.79088490859381,-0.586125167855386,0.858583671882145,-0.131977396317787,-1.16563045290782,-0.459302584642485,-1.69661935214789,-1.56097790868232,-2.96106898936431
