year,month,pr,pet,lr
1983,4,3.3,189.6143743,0
1983,5,26.7,213.6403326,0.090069943
1983,6,85.35,176.795434,0.596428663
1983,7,150.9,167.1282413,2.300646857
1983,8,163.25,162.3276494,12.88963543
1983,9,80.35,162.0526212,3.963305006
1983,10,6.35,177.7102029,0.973106743
1983,11,0,168.8589628,0.083676617
1983,12,0,162.1341883,0.016662857
1984,1,0,190.1784949,0
1984,2,0,193.9911781,0
1984,3,10.45,214.4571871,0
1984,4,7.55,198.4717587,0
1984,5,49.9,175.5944476,0.045750857
1984,6,42.05,140.5468715,0.187624046
1984,7,150.15,135.9403326,0.322049829
1984,8,101.9,136.009611,2.012576914
1984,9,100.8,148.6558906,3.694721006
1984,10,16.55,178.9397407,2.399035886
1984,11,1.85,176.4809752,0.218149303
1984,12,0,176.462345,0.119227886
1985,1,0,171.6424183,0.002468571
1985,2,0,171.1180383,0
1985,3,0,191.3272548,0
1985,4,4.5,185.0635287,0
1985,5,47.3,210.4581736,0.002550857
1985,6,72.6,189.2462796,0.368471314
1985,7,162.35,150.8188275,6.847360457
1985,8,144.1,146.863726,6.3254592
1985,9,113.4,150.0768038,7.453732114
1985,10,2.85,165.4547069,0.780570514
1985,11,0,165.1182356,0.025508571
1985,12,0,163.677903,0.000617143
1986,1,0,159.714177,0
1986,2,0,157.3994081,0
1986,3,2.05,176.0326099,0
1986,4,5.8,201.3024803,0
1986,5,62.15,192.3491545,0
1986,6,115.65,179.9069335,0.333924206
1986,7,144.2,150.5370631,3.552150857
1986,8,184.75,144.303664,4.376225829
1986,9,153.15,138.3126832,9.994840731
1986,10,24.35,170.3756201,2.118049567
1986,11,0.15,155.0727452,0.068798743
1986,12,0,166.0264656,0.029334857
1987,1,0,166.9721533,0.001933714
1987,2,0,163.2654171,0
1987,3,6.65,181.7539177,0
1987,4,0,192.4350902,0
1987,5,33.5,214.6190248,0
1987,6,143.85,173.4975197,0.902914149
1987,7,127,170.8743236,0.639845486
1987,8,160.75,152.3073281,3.114757029
1987,9,131.15,149.7032694,2.142464914
1987,10,22.55,167.4677847,2.409728914
1987,11,0,164.0493517,0.210934629
1987,12,0,163.6245772,0.043405714
1988,1,0,157.9092165,0.007035429
1988,2,0,165.8303269,0
1988,3,0,205.7816516,0
1988,4,61.55,196.4962232,0.000349714
1988,5,34.4,213.9324972,0.121210971
1988,6,37.4,185.8755073,0.329400686
1988,7,184.05,158.2747182,0.770943086
1988,8,278.9,142.3737317,16.736256
1988,9,121.15,142.203664,25.45762231
1988,10,3.55,176.622097,2.981561143
1988,11,0,162.1704622,0.076729783
1988,12,0,162.4145716,0.022752
1989,1,0,173.4274521,0.002262857
1989,2,0,162.4393461,0
1989,3,2.75,178.8337937,0
1989,4,0,206.6134724,0
1989,5,34.95,220.7038613,0
1989,6,40.2,203.2324972,0.011355429
1989,7,190.25,167.3378523,2.568359314
1989,8,308.25,136.2673901,8.875164343
1989,9,86.7,151.9343856,6.926776046
1989,10,40.95,166.2434047,0.587104457
1989,11,0,186.3562852,0.108317897
1989,12,0.85,177.0165445,0.029334857
1990,1,0,182.7017756,0.001152
1990,2,0,184.0950395,0
1990,3,0,222.1040586,0
1990,4,8.95,196.2558906,0
1990,5,66.1,226.4240699,0.013577143
1990,6,52.8,188.0328918,0.416648503
1990,7,158.2,162.7102029,0.601154743
1990,8,147,156.5430101,1.988648229
1990,9,89.8,154.9737317,3.221409463
1990,10,16.65,175.0426156,0.229638857
1990,11,0,168.2307215,0.046957029
1990,12,0,167.1395434,0.009997714
1991,1,0,181.3479707,0
1991,2,0,161.3946449,0
1991,3,0.2,186.8426156,0
1991,4,33.4,187.8520293,0
1991,5,150.1,175.6532131,2.107090286
1991,6,127.25,162.7913754,1.437390994
1991,7,120.4,159.7979143,2.097886629
1991,8,239.2,140.6159526,7.640022857
